"Knema globularia","Knema","","globularia",NA,NA,"","","tro-21800251",TRUE,"1.1","Accepted","Myristicaceae","Knema","","globularia","","","(Lam.) Warb.","tro-21800251","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knema hookeriana","Knema","","hookeriana",NA,NA,"","","kew-2334949",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","hookeriana","","","Warb.","kew-2334949","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema kinabaluensis","Knema","","kinabaluensis",NA,NA,"","","kew-2334953",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","kinabaluensis","","","J.Sinclair","kew-2334953","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema latericia","Knema","","latericia",NA,NA,"","","kew-2334678",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","latericia","","","Elmer","kew-2334678","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema laurina","Knema","","laurina",NA,NA,"","","kew-2334685",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","laurina","","","Warb.","kew-2334685","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema lenta","Knema","","lenta",NA,NA,"","","tro-21800266",TRUE,"1.1","Accepted","Myristicaceae","Knema","","lenta","","","Warb.","tro-21800266","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knema linifolia","Knema","","linifolia",NA,NA,"","","tro-21800249",TRUE,"1.1","Accepted","Myristicaceae","Knema","","linifolia","","","(Roxb.) Warb.","tro-21800249","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knema malayana","Knema","","malayana",NA,NA,"","","kew-2334661",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","malayana","","","Warb.","kew-2334661","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema patentinervia","Knema","","patentinervia",NA,NA,"","","kew-2334715",TRUE,"1.1","Unresolved","Myristicaceae","Knema","","patentinervia","","","(J.Sinclair) W.J.de Wilde","kew-2334715","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knema tenuinervia","Knema","","tenuinervia",NA,NA,"","","tro-50333330",TRUE,"1.1","Accepted","Myristicaceae","Knema","","tenuinervia","","","W.J. de Wilde","tro-50333330","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knersia diversifolia","Knersia","","diversifolia",NA,NA,"","","",FALSE,"1.1","","","Knersia","","diversifolia",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Knightia excelsa","Knightia","","excelsa",NA,NA,"","","kew-2334761",TRUE,"1.1","Unresolved","Proteaceae","Knightia","","excelsa","","","R.Br.","kew-2334761","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Kniphofia acraea","Kniphofia","","acraea",NA,NA,"","","kew-279662",TRUE,"1.1","Accepted","Xanthorrhoeaceae","Kniphofia","","acraea","","","Codd","kew-279662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kniphofia albescens","Kniphofia","","albescens",NA,NA,"","","kew-279661",TRUE,"1.1","Accepted","Xanthorrhoeaceae","Kniphofia","","albescens","","","Codd","kew-279661","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kniphofia albomontana","Kniphofia","","albomontana",NA,NA,"","","kew-279689",TRUE,"1.1","Accepted","Xanthorrhoeaceae","Kniphofia","","albomontana","","","Baijnath","kew-279689","Accepted",FALSE,FALSE,FALSE,2017-05-11
