"Phlomoides melanantha","Phlomoides","","melanantha",NA,NA,"","","kew-152578",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","melanantha","","","(Diels) Kamelin & Makhm.","kew-152578","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides milkoi","Phlomoides","","milkoi",NA,NA,"","","kew-459032",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","milkoi","","","Lazkov","kew-459032","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides muliensis","Phlomoides","","muliensis",NA,NA,"","","kew-152582",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","muliensis","","","(C.Y.Wu) Kamelin & Makhm.","kew-152582","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides pratensis","Phlomoides","","pratensis",NA,NA,"","","kew-152595",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","pratensis","","","(Kar. & Kir.) Adylov, Kamelin & Makhm.","kew-152595","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides rotata","Phlomoides","","rotata",NA,NA,"","","kew-467779",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","rotata","","","(Benth. ex Hook.f.) Mathiesen","kew-467779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides sewerzovii","Phlomoides","","sewerzovii",NA,NA,"","","kew-467830",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","sewerzovii","","","(Herder) Mathiesen","kew-467830","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides tuberosa","Phlomoides","","tuberosa",NA,NA,"","","kew-152625",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","tuberosa","","","(L.) Moench","kew-152625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides tytthaster","Phlomoides","","tytthaster",NA,NA,"","","kew-152627",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","canescens","","","(Regel) Adylov, Kamelin & Makhm.","kew-152524","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomoides vavilovii","Phlomoides","","vavilovii",NA,NA,"","","kew-152632",TRUE,"1.1","Accepted","Lamiaceae","Phlomoides","","vavilovii","","","(Popov) Adylov, Kamelin & Makhm.","kew-152632","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox aculeata","Phlox","","aculeata",NA,NA,"","","tro-25800346",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","aculeata","","","A. Nelson","tro-25800346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox adsurgens","Phlox","","adsurgens",NA,NA,"","","tro-25800348",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","adsurgens","","","Torr. ex A. Gray","tro-25800348","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox alaskensis","Phlox","","alaskensis",NA,NA,"","","tro-25800008",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","alaskensis","","","Jordal","tro-25800008","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox alyssifolia","Phlox","","alyssifolia",NA,NA,"","","tro-25800350",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","alyssifolia","","","Greene","tro-25800350","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox amoena","Phlox","","amoena",NA,NA,"","","tro-25800352",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","amoena","","","Sims","tro-25800352","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox amplifolia","Phlox","","amplifolia",NA,NA,"","","tro-25800353",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","amplifolia","","","Britton","tro-25800353","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox andicola","Phlox","","andicola",NA,NA,"","","tro-25800354",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","andicola","","","(Britton) E.E. Nelson","tro-25800354","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox austromontana","Phlox","","austromontana",NA,NA,"","","tro-25800355",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","austromontana","","","Coville","tro-25800355","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox bifida","Phlox","","bifida",NA,NA,"","","tro-25800359",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","bifida","","","L.C. Beck","tro-25800359","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox buckleyi","Phlox","","buckleyi",NA,NA,"","","tro-25800361",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","buckleyi","","","Wherry","tro-25800361","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox caespitosa","Phlox","","caespitosa",NA,NA,"","","tro-25800362",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","caespitosa","","","Nutt.","tro-25800362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox carolina","Phlox","","carolina",NA,NA,"","","tro-25800363",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","carolina","","","L.","tro-25800363","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox cluteana","Phlox","","cluteana",NA,NA,"","","tro-25800367",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","cluteana","","","A. Nelson","tro-25800367","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlox colubrina","Phlox","","colubrina",NA,NA,"","","tro-25800368",TRUE,"1.1","Accepted","Polemoniaceae","Phlox","","colubrina","","","Wherry & Constance","tro-25800368","Accepted",FALSE,FALSE,FALSE,2017-05-11
