"Neolepidozia gibbsiana","Neolepidozia","","gibbsiana",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","gibbsiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia heterotexta","Neolepidozia","","heterotexta",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","heterotexta",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia leratii","Neolepidozia","","leratii",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","leratii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia meridiana","Neolepidozia","","meridiana",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","meridiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia palmata","Neolepidozia","","palmata",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","palmata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia paludicola","Neolepidozia","","paludicola",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","paludicola",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia patentissima","Neolepidozia","","patentissima",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","patentissima",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia praenitens","Neolepidozia","","praenitens",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","praenitens",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia tetrapila","Neolepidozia","","tetrapila",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","tetrapila",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepidozia tridactylis","Neolepidozia","","tridactylis",NA,NA,"","","",FALSE,"1.1","","","Neolepidozia","","tridactylis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neolepisorus fortunei","Neolepisorus","","fortunei",NA,NA,"","","ifn-39361",TRUE,"1.1","Unresolved","Polypodiaceae","Neolepisorus","","fortunei","","","Li Wang","ifn-39361","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neolepisorus pappei","Neolepisorus","","pappei",NA,NA,"","","ifn-39370",TRUE,"1.1","Unresolved","Polypodiaceae","Neolepisorus","","pappei","","","Li Wang","ifn-39370","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neolepisorus zippelii","Neolepisorus","","zippelii",NA,NA,"","","ifn-39379",TRUE,"1.1","Unresolved","Polypodiaceae","Neolepisorus","","zippelii","","","Li Wang","ifn-39379","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neoleroya verdcourtii","Neoleroya","","verdcourtii",NA,NA,"","","kew-133852",TRUE,"1.1","Synonym","Rubiaceae","Pyrostria","","verdcourtii","","","(Cavaco) Razafim., Lantz & B.Bremer","kew-375083","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolindbergia cladomnioides","Neolindbergia","","cladomnioides",NA,NA,"","","tro-35186287",TRUE,"1.1","Accepted","Pterobryaceae","Neolindbergia","","cladomnioides","","","H. Akiy.","tro-35186287","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolitsea aciculata","Neolitsea","","aciculata",NA,NA,"","","tro-17806018",TRUE,"1.1","Accepted","Lauraceae","Neolitsea","","aciculata","","","(Blume) Koidz.","tro-17806018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolitsea aurata","Neolitsea","","aurata",NA,NA,"","","tro-17805029",TRUE,"1.1","Accepted","Lauraceae","Neolitsea","","aurata","","","(Hayata) Koidz.","tro-17805029","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neolitsea australiensis","Neolitsea","","australiensis",NA,NA,"","","kew-2383685",TRUE,"1.1","Unresolved","Lauraceae","Neolitsea","","australiensis","","","Kosterm.","kew-2383685","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neolitsea boninensis","Neolitsea","","boninensis",NA,NA,"","","kew-2383690",TRUE,"1.1","Unresolved","Lauraceae","Neolitsea","","boninensis","","","Koidz.","kew-2383690","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neolitsea brassii","Neolitsea","","brassii",NA,NA,"","","kew-2383689",TRUE,"1.1","Unresolved","Lauraceae","Neolitsea","","brassii","","","C.K.Allen","kew-2383689","Unresolved",FALSE,FALSE,FALSE,2017-05-11
