"Pomaria jamesii","Pomaria","","jamesii",NA,NA,"","","ild-39662",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","jamesii","","","(Torr. & A.Gray) Walp.","ild-39662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria lactea","Pomaria","","lactea",NA,NA,"","","tro-50294906",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","lactea","","","(Schinz) B.B. Simpson & G.P. Lewis","tro-50294906","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria melanosticta","Pomaria","","melanosticta",NA,NA,"","","ild-39663",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","melanosticta","","","S.Schauer","ild-39663","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria multijuga","Pomaria","","multijuga",NA,NA,"","","ild-39664",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","multijuga","","","(S.Watson) B.B.Simpson","ild-39664","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria pilosa","Pomaria","","pilosa",NA,NA,"","","tro-50234097",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","pilosa","","","(Vogel) B.B. Simpson & G.P. Lewis","tro-50234097","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria rubicunda","Pomaria","","rubicunda",NA,NA,"","","tro-50234091",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","rubicunda","","","(Vogel) B.B. Simpson & G.P. Lewis","tro-50234091","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria sandersonii","Pomaria","","sandersonii",NA,NA,"","","tro-50298309",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","sandersonii","","","(Harv.) B.B. Simpson & G.P. Lewis","tro-50298309","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria stipularis","Pomaria","","stipularis",NA,NA,"","","tro-50234090",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","stipularis","","","(Vogel) B.B. Simpson & G.P. Lewis","tro-50234090","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomaria wootonii","Pomaria","","wootonii",NA,NA,"","","ild-39846",TRUE,"1.1","Accepted","Leguminosae","Pomaria","","wootonii","","","(Britton) B.B.Simpson","ild-39846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomatocalpa diffusum","Pomatocalpa","","diffusum",NA,NA,"","","kew-163137",TRUE,"1.1","Accepted","Orchidaceae","Pomatocalpa","","diffusum","","","Breda","kew-163137","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomatocalpa kunstleri","Pomatocalpa","","kunstleri",NA,NA,"","","kew-163148",TRUE,"1.1","Accepted","Orchidaceae","Pomatocalpa","","kunstleri","","","(Hook.f.) J.J.Sm.","kew-163148","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomatocalpa spicatum","Pomatocalpa","","spicatum",NA,NA,"","","kew-163175",TRUE,"1.1","Accepted","Orchidaceae","Pomatocalpa","","spicatum","","","Breda, Kuhl & Hasselt","kew-163175","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pomatocalpa undulatum","Pomatocalpa","","undulatum",NA,NA,"","","kew-163178",TRUE,"1.1","Accepted","Orchidaceae","Pomatocalpa","","undulatum","","","(Lindl.) J.J.Sm.","kew-163178","Accepted",FALSE,FALSE,FALSE,2017-05-11
