"Ceratozamia morettii","Ceratozamia","","morettii",NA,NA,"","","kew-2711347",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","morettii","","","Vázq.Torres & Vovides","kew-2711347","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia norstogii","Ceratozamia","","norstogii",NA,NA,"","","kew-2711348",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","norstogii","","","D.W.Stev.","kew-2711348","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia robusta","Ceratozamia","","robusta",NA,NA,"","","kew-2711350",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","robusta","","","Miq.","kew-2711350","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia sabatoi","Ceratozamia","","sabatoi",NA,NA,"","","kew-2711351",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","sabatoi","","","Vovides & al.","kew-2711351","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia santillanii","Ceratozamia","","santillanii",NA,NA,"","","tro-100364498",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","santillanii","","","Pérez-Farrera & Vovides","tro-100364498","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia subroseophylla","Ceratozamia","","subroseophylla",NA,NA,"","","",FALSE,"1.1","","","Ceratozamia","","subroseophylla",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia vovidesii","Ceratozamia","","vovidesii",NA,NA,"","","kew-2603916",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","vovidesii","","","Pérez-Farr. & Iglesias","kew-2603916","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia whitelockiana","Ceratozamia","","whitelockiana",NA,NA,"","","kew-2711352",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","whitelockiana","","","Chemnick & T.J.Greg.","kew-2711352","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia zaragozae","Ceratozamia","","zaragozae",NA,NA,"","","kew-2711353",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","zaragozae","","","Medellín","kew-2711353","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia zoquorum","Ceratozamia","","zoquorum",NA,NA,"","","kew-2711354",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","zoquorum","","","Pérez-Farr., Vovides , Iglesias","kew-2711354","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cerbera floribunda","Cerbera","","floribunda",NA,NA,"","","kew-37154",TRUE,"1.1","Accepted","Apocynaceae","Cerbera","","floribunda","","","K.Schum.","kew-37154","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cerbera manghas","Cerbera","","manghas",NA,NA,"","","kew-37166",TRUE,"1.1","Accepted","Apocynaceae","Cerbera","","manghas","","","L.","kew-37166","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cerbera odollam","Cerbera","","odollam",NA,NA,"","","kew-37178",TRUE,"1.1","Accepted","Apocynaceae","Cerbera","","odollam","","","Gaertn.","kew-37178","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cerbera venenifera","Cerbera","","venenifera",NA,NA,"","","kew-37192",TRUE,"1.1","Synonym","Apocynaceae","Cerbera","","manghas","","","L.","kew-37166","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cerberiopsis candelabra","Cerberiopsis","","candelabra",NA,NA,"","","kew-37194",TRUE,"1.1","Accepted","Apocynaceae","Cerberiopsis","","candelabra","","","Vieill. ex Pancher & Sebert","kew-37194","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercestis afzelii","Cercestis","","afzelii",NA,NA,"","","kew-37202",TRUE,"1.1","Accepted","Araceae","Cercestis","","afzelii","","","Schott","kew-37202","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercestis camerunensis","Cercestis","","camerunensis",NA,NA,"","","kew-37204",TRUE,"1.1","Accepted","Araceae","Cercestis","","camerunensis","","","(Ntépé-Nyamè) Bogner","kew-37204","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercestis kamerunianus","Cercestis","","kamerunianus",NA,NA,"","","kew-37210",TRUE,"1.1","Accepted","Araceae","Cercestis","","kamerunianus","","","(Engl.) N.E.Br.","kew-37210","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercestis mirabilis","Cercestis","","mirabilis",NA,NA,"","","kew-37213",TRUE,"1.1","Accepted","Araceae","Cercestis","","mirabilis","","","(N.E.Br.) Bogner","kew-37213","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercestis stigmaticus","Cercestis","","stigmaticus",NA,NA,"","","kew-37215",TRUE,"1.1","Synonym","Araceae","Cercestis","","dinklagei","","","Engl.","kew-37206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercidiphyllum japonicum","Cercidiphyllum","","japonicum",NA,NA,"","","kew-37218",TRUE,"1.1","Accepted","Cercidiphyllaceae","Cercidiphyllum","","japonicum","","","Siebold & Zucc. ex J.J.Hoffm. & J.H.Schult.bis","kew-37218","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercidiphyllum magnificum","Cercidiphyllum","","magnificum",NA,NA,"","","kew-37224",TRUE,"1.1","Accepted","Cercidiphyllaceae","Cercidiphyllum","","magnificum","","","(Nakai) Nakai","kew-37224","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercidium andicola","Cercidium","","andicola",NA,NA,"","","ild-12008",TRUE,"1.1","Accepted","Leguminosae","Cercidium","","andicola","","","Griseb.","ild-12008","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercis canadensis","Cercis","","canadensis",NA,NA,"","","ild-20153",TRUE,"1.1","Accepted","Leguminosae","Cercis","","canadensis","","","L.","ild-20153","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercis chinensis","Cercis","","chinensis",NA,NA,"","","ild-32953",TRUE,"1.1","Accepted","Leguminosae","Cercis","","chinensis","","","Bunge","ild-32953","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercis chingii","Cercis","","chingii",NA,NA,"","","ild-43535",TRUE,"1.1","Accepted","Leguminosae","Cercis","","chingii","","","Chun","ild-43535","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercis chuniana","Cercis","","chuniana",NA,NA,"","","ild-43529",TRUE,"1.1","Accepted","Leguminosae","Cercis","","chuniana","","","F.P.Metcalf","ild-43529","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cercis environmental","Cercis","","environmental",NA,NA,"","","",FALSE,"1.1","","","Cercis","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
